7:302,616,58,8,518,650,15,29,542,61
18:17,518,8,32,58,564,650,70,508,616
19:
36:17,518,616,8,654,32,1023,70,542,58
37:103,15,61,17,542,1126,1987,8,65,32
41:17,616,542,61,58,15,302,902,245,654
42:17,518,542,58,61,654,15,787,1405,902
43:17,542,1023,616,1535,302,226,327,1405,76
44:302,616,542,861,1196,15,61,8,518,32
45:76,347,564,650,17,302,226,508,654,698
46:616,245,564,8,302,58,61,542,15,508
59:15,542,616,58,245,508,654,32,787,61
60:302,58,616,84,542,15,650,518,29,101
69:61,58,32,654,1196,564,302,787,402,508
70:302,654,76,84,354,58,616,301,650,29
94:17,616,32,1405,1126,364,654,564,1403,65
106:15,32,518,61,8,1511,554,94,364,101
115:58,518,15,61,8,787,94,861,322,1511
116:508,226,564,76,17,698,70,1023,238,1405
142:61,58,32,8,364,861,554,322,84,6
143:3231,394,483,22528,28844,1549,17,32,554,564
148:17,70,616,1023,542,8,15,564,654,518
150:17,302,654,61,650,564,542,8,15,29
156:302,58,542,61,616,8,245,787,94,1511
161:616,542,15,84,564,101,787,289,1196,94
171:302,15,61,861,518,650,32,84,8,101
172:58,654,542,861,61,554,8,238,518,162
174:8,518,117,245,431,483,654,873,899,11194
177:17,58,616,654,542,518,8,61,15,32
196:616,61,542,15,564,32,76,322,354,1196
202:58,15,542,302,32,8,518,245,1535,322
211:17,103,564,8,787,1131,873,3704,119,508
217:518,17,245,15,616,1405,8,787,999,564
220:10178,186,22713,7649,39446,1342,64973,13192,4032,7478
223:616,58,654,302,518,8,322,245,564,1196
224:4797,353,1951,17,518,245,8,84,654,601
225:616,542,15,654,61,302,518,58,564,32
228:17,302,616,650,58,654,564,542,76,15
229:58,15,61,32,518,787,322,94,245,1196
231:302,616,58,654,32,61,8,76,518,84
232:48256,60930,24068,99009,58761,77322,103819,11534,55056,88929
238:441,1744,245,3618,4513,17,710,8,2715,564
241:616,58,542,61,15,518,861,1196,564,650
245:81,262,16786,508,650,780,3137,5767,3939,17
249:17,15,654,94,616,518,302,61,542,8
250:616,542,302,58,518,654,564,8,245,787
253:189,508,245,3107,17,1527,3172,4825,8,76
257:17,542,15,62,61,861,1196,554,32,1511
272:654,1102,58,8,29,518,616,301,354,650
273:17,654,302,15,101,787,289,554,650,1196
288:17,616,15,58,1511,1196,650,61,554,364
290:17,302,138,226,616,1535,654,58,84,354
291:17,518,84,1102,302,654,616,542,354,508
292:58,616,654,542,61,94,564,508,861,1511
294:17,302,15,8,542,787,363,61,32,508
328:654,302,58,518,8,616,84,29,650,354
331:17,654,616,58,542,302,15,8,650,162
345:1754,77581,385,805,39936,11401,11281,45975,3250,120518
361:616,58,518,650,29,354,8,15,787,1196
376:302,58,17,616,29,84,861,6,1140,285
384:17,616,542,302,654,15,1196,61,518,32
401:616,58,542,15,61,245,32,94,508,1102
402:302,654,15,542,61,518,8,861,1196,32
410:4755,508,76,984,463,1326,8860,17,226,5557
448:245,616,61,518,15,542,58,8,302,654
449:17,15,616,654,302,58,1405,32,518,61
450:15,654,302,1511,245,94,1403,363,103,76
452:302,17,13523,616,861,58,76,518,238,5869
476:17,245,518,899,1023,70,1405,2200,496,508
488:17,616,15,542,58,61,518,302,508,1196
490:17,302,15,61,32,554,101,1403,76,650
494:616,17,654,58,542,518,15,1196,8,32
500:17,302,616,654,8,58,518,62,76,84
514:17,616,58,650,61,302,1196,76,564,8
525:616,518,15,542,564,245,61,84,302,508
535:17,542,564,518,29,861,8,1102,101,61
536:616,302,58,542,8,654,15,32,518,650
538:616,58,302,101,15,654,564,61,1102,554
539:17,542,58,654,15,518,32,564,1196,61
564:15,518,84,8,289,61,76,650,861,554
582:616,15,564,61,518,861,1196,32,84,322
585:17,58,616,654,15,302,94,61,542,518
590:654,518,8,101,542,15,76,301,554,564
601:226,105155,18245,90054,27912,67228,94414,75023,48912,121234
618:17,616,15,542,654,302,1535,58,518,554
624:17,76,245,518,8,508,7006,84,787,58
627:11539,5512,83175,4671,19731,10071,32661,311,780,1077
628:2051,10244,8,11,23213,17,59548,2070,18456,25
632:81,17,353,508,226,8,564,931,2967,5767
633:58,302,654,61,15,1196,8,518,32,564
634:226,70,508,17,616,262,8,780,5767,140
646:17,546,654,302,58,1995,76,616,70,564
666:10981,911,1337,11590,18920,25145,35817,17908,39399,3243
667:17,58,616,15,654,61,518,302,564,542
669:518,17,10493,736,500,11470,1803,58,65,70
678:654,58,17,302,542,15,518,8,564,1196
680:616,654,17,58,15,1196,650,518,61,8
681:245,441,508,1744,710,4268,76,2139,17,8
682:1528,7711,9783,2318,76,16305,9531,14754,6755,18240
683:34823,2063,15,542,48672,17974,1089,69187,1606,45128
684:168,984,5480,8860,719,661,8733,1326,1460,801
715:4671,2543,8392,12861,9435,11855,311,8867,8427,2215
716:17,616,302,654,58,861,1196,542,564,84
741:168,984,8860,8733,574,1400,463,661,135,5480
750:15,61,32,564,8,322,787,6,76,402
754:17,616,58,302,654,542,61,32,554,1196
756:616,84,101,15,542,8,289,861,554,1102
757:17,302,616,654,58,564,76,8,84,301
758:17,15,616,302,58,76,654,224,1245,8
763:17,542,8,84,650,15,564,518,29,1196
773:17,302,101,616,518,542,650,654,8,58
774:17,302,1196,61,1511,518,32,554,650,787
775:58,15,542,518,245,1196,94,564,787,1511
782:245,616,518,61,15,8,542,654,1405,508
784:17,542,518,302,787,94,1196,508,999,1405
793:654,616,564,542,29,1535,8,518,61,101
803:17,6450,1119,245,84,496,891,302,354,736
813:17,616,61,654,542,302,518,94,564,103
815:542,654,15,302,58,61,364,564,32,1511
817:58,1102,616,29,138,8,736,650,289,301
818:984,5480,8860,1326,463,1528,2318,760,8733,574
823:245,17,94,8,518,1744,1382,15,302,70
825:616,518,654,94,8,58,542,363,787,508
833:58,302,1196,564,8,787,508,861,999,402
835:616,542,58,15,302,61,654,518,508,564
838:8066,219,131,8392,862,12861,17,8427,245,9189
844:58,8,354,518,76,29,15,289,736,542
850:17,866,76,654,354,302,58,84,301,8
856:364,6,486,999,1535,4904,62,1140,103,1405
857:302,15,518,542,61,8,84,289,564,76
874:518,364,58,787,1196,302,999,508,554,238
891:361,17,654,302,76,58,354,15,70,254
899:17,542,518,15,616,8,564,32,302,654
900:17,398,616,302,2447,58,238,542,24211,654
911:302,654,58,616,76,8,363,564,518,1196
918:17,302,654,58,15,616,8,542,518,61
925:17,302,616,654,58,84,564,8,518,289
926:58,302,542,518,8,861,32,1196,322,787
937:518,616,542,302,61,654,58,245,564,32
949:
964:2403,17,947,94,65,3207,15,353,970,518
970:14636,2656,8,4300,9093,4613,84,50946,5010,656
977:17,518,15,61,787,1511,554,322,364,1403
981:1002,4513,245,710,1744,17,1410,4268,508,8
982:17,2162,875,84,245,302,354,1119,70,736
984:17,616,654,58,542,15,245,8,61,32
992:508,17,245,564,616,8,15,70,226,542
993:654,84,616,58,29,76,1102,518,354,564
998:17,616,542,15,61,32,58,302,650,654
1000:17,542,58,61,518,8,1196,554,101,94
1007:654,17,542,8,15,564,1196,224,29,32
1027:168,1400,661,1326,801,8733,2103,7838,574,760
1028:17,302,616,58,15,518,542,61,564,32
1044:17,616,58,654,302,84,8,518,542,61
1045:17,542,58,518,61,1511,94,101,1196,8
1049:76,17,542,564,616,654,2139,15,8,302
1068:17,76,441,1002,245,302,3506,8928,6315,508
1069:654,542,32,518,61,84,8,564,787,554
1070:17,616,542,58,15,518,32,564,861,1535
1082:542,84,518,15,101,1196,650,61,322,32
1083:363,13829,518,1800,1034,21899,654,16272,17,71491
1088:17,616,542,15,8,61,564,654,245,302
1094:616,58,61,32,508,787,363,322,301,6
1116:616,58,302,654,8,76,70,508,564,363
1121:17,654,1578,61,29,84,101,205,289,568
1125:616,542,654,61,58,302,32,103,564,94
1127:17,61,518,15,542,616,58,245,8,302
1132:17,302,654,15,58,650,787,564,542,8
1133:15,61,32,8,518,650,508,76,354,101
1140:616,58,542,302,15,61,564,62,518,8
1141:17,787,84,4671,14259,327,1382,8,101,1119
1148:17,302,70,508,1023,654,76,58,736,8
1153:17,616,58,542,654,564,518,61,508,32
1163:
1166:15,17,61,518,103,32,542,1405,1126,131
1172:17,616,15,302,61,58,518,654,8,364
1192:17,616,58,302,542,61,1196,564,650,518
1204:17,616,654,302,61,58,15,542,518,94
1208:17,58,616,654,302,15,542,650,8,61
1209:17,76,302,70,8,564,616,1023,238,542
1234:168,719,984,574,1400,661,76,2103,5480,135
1236:17,302,542,1987,58,518,616,61,84,32
1245:1187,245,518,8,616,302,84,654,76,2162
1263:58,302,17,542,861,32,1196,518,650,564
1267:58,616,542,15,518,654,32,302,564,101
1269:4755,3107,1352,2880,189,6434,1712,5624,8848,7831
1288:1017,67016,692,654,398,17,138,518,32,8213
1295:542,616,15,61,861,518,32,1196,101,787
1296:17,654,58,542,650,29,76,564,289,15
1302:302,17,616,654,15,542,1196,518,861,32
1305:302,17,58,84,8,542,15,29,322,650
1342:17,84,518,302,616,58,101,654,29,650
1382:17,616,654,518,58,302,84,8,1405,245
1389:75115,4245,40853,1305,61636,6635,518,30727,65418,1804
1391:26376,32,402,17,302,787,650,674,58,61
1397:81,986,226,140,1749,2967,2379,70,262,500
